BELNR,BUDAT,Werk,MATNR,MAKTX,Menge,MEINS,LIFNR
5000001,15.03.2026,PL01,MAT-1001,Diesel Fuel,1200,L,V-2001
5000002,2026-03-18,PL01,MAT-1002,Benzin (Petrol),350,liter,V-2002
5000003,20260320,PL02,MAT-1003,Erdgas (Natural Gas),800,M3,V-2003
5000004,22.03.2026,PL02,MAT-1001,Diesel Fuel,2500,L,V-2001
5000005,2026-03-25,PL03,MAT-1004,Heizöl (Heating Oil),600,liter,V-2004
5000006,28.03.2026,PL01,MAT-1005,LPG,450,L,V-2005
5000007,2026-04-01,,MAT-1001,Diesel Fuel,900,L,V-2001
5000008,05.04.2026,PL02,MAT-1006,Office Supplies,25,KG,V-3001
5000009,2026-04-08,PL03,MAT-1007,Schmierstoffe (Lubricants),120,liter,V-2006
5000010,10.04.2026,PL01,MAT-1001,Diesel Fuel,0,L,V-2001
5000011,2026-04-12,PL02,MAT-1008,Unknown Material XYZ,300,kg,V-9999
5000012,15.04.2026,PL01,MAT-1002,Benzin (Petrol),175,L,V-2002
5000013,invalid-date,PL03,MAT-1001,Diesel Fuel,800,L,V-2001
5000014,20.04.2026,PL02,MAT-1003,Erdgas (Natural Gas),1500,M3,V-2003
5000015,2026-04-22,PL01,MAT-1001,Diesel Fuel,-50,L,V-2001
